# Only healpixels with non-zero completeness are recorded.
# nside=128, nest=False
healpix_number,completeness
3676,0.9736999869346619
3677,0.9736999869346619
3678,0.9736999869346619
3679,0.9736999869346619
3680,0.9736999869346619
3687,1.0
3688,1.0
3689,1.0
3702,1.0
3703,1.0
3704,1.0
3705,1.0
3793,9.999999747378752e-05
3794,9.999999747378752e-05
3795,9.999999747378752e-05
3796,9.999999747378752e-05
3797,9.999999747378752e-05
3798,9.999999747378752e-05
3809,0.8701000213623047
3810,0.8701000213623047
3811,0.8701000213623047
3812,0.8701000213623047
3813,0.8701000213623047
3830,0.5339000225067139
3834,1.0
3835,1.0
3836,1.0
3837,1.0
3838,1.0
3849,0.9736999869346619
3850,0.9736999869346619
3851,0.9736999869346619
3852,0.9736999869346619
3853,0.9736999869346619
3854,0.9736999869346619
3862,1.0
3863,1.0
3864,1.0
3875,1.0
3876,1.0
3877,1.0
3878,1.0
3879,1.0
3880,1.0
3969,9.999999747378752e-05
3970,9.999999747378752e-05
3971,9.999999747378752e-05
3972,9.999999747378752e-05
3973,9.999999747378752e-05
3974,9.999999747378752e-05
3985,0.8701000213623047
3986,0.8701000213623047
3987,0.8701000213623047
3988,0.8701000213623047
3989,0.8701000213623047
3990,0.8701000213623047
3991,1.0
3992,1.0
3993,1.0
4011,1.0
4012,1.0
4013,1.0
4014,1.0
4015,1.0
4027,0.9736999869346619
4028,0.9736999869346619
4029,0.9736999869346619
4030,0.9736999869346619
4031,0.9736999869346619
4032,0.9736999869346619
4039,1.0
4040,1.0
4041,1.0
4042,1.0
4053,1.0
4054,1.0
4055,1.0
4056,1.0
4057,1.0
4058,1.0
4150,9.999999747378752e-05
4151,9.999999747378752e-05
4152,9.999999747378752e-05
4153,9.999999747378752e-05
4154,9.999999747378752e-05
4166,0.8701000213623047
4167,0.8701000213623047
4168,0.8701000213623047
4169,0.8701000213623047
4170,0.8701000213623047
4171,1.0
4172,1.0
4173,1.0
4174,1.0
4175,1.0
4193,1.0
4194,1.0
4195,1.0
4196,1.0
4209,0.9736999869346619
4210,0.9736999869346619
4211,0.9736999869346619
4212,0.9736999869346619
4213,0.9736999869346619
4220,1.0
4221,1.0
4222,1.0
4223,1.0
4224,1.0
4236,1.0
4237,1.0
